,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
aarti_max,581.5  +- 11079.9 ,82.1  +- 6.3 ,70.0  +- 7.7 ,61.6  +- 8.4 ,0.0  +- 0.7 ,608.8  +- 11594.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.1  +- 1.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.1  +- 1.4 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 4.8 ,99.8  +- 4.7 ,75.9  +- 7.1 ,0.0  +- 0.8 ,0.2  +- 4.5 ,0.2  +- 4.6 ,99.8  +- 4.5 ,33790 +- 6589,12699 +- 6170
tl_aarti_max,584.6  +- 11032.8 ,82.1  +- 6.2 ,70.0  +- 7.7 ,61.6  +- 8.4 ,0.0  +- 0.7 ,611.6  +- 11547.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.6 ,0.3  +- 5.2 ,0.1  +- 1.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.1  +- 1.4 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 4.8 ,99.7  +- 4.7 ,75.9  +- 7.1 ,0.0  +- 0.8 ,0.5  +- 6.9 ,0.2  +- 4.5 ,99.8  +- 4.4 ,33794 +- 6587,12699 +- 6169
resc_tl_aarti_max,572.5  +- 10906.7 ,82.1  +- 6.2 ,70.0  +- 7.7 ,61.6  +- 8.4 ,0.0  +- 0.7 ,600.6  +- 11421.0 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.1  +- 1.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.1  +- 1.4 ,0.2  +- 4.7 ,0.3  +- 5.2 ,0.2  +- 4.7 ,99.8  +- 4.6 ,75.9  +- 7.1 ,0.0  +- 0.8 ,0.2  +- 4.5 ,0.2  +- 4.5 ,99.8  +- 4.4 ,33790 +- 6589,12697 +- 6166
sadeh,142041.0  +- 51959.3 ,70.6  +- 13.0 ,68.7  +- 11.6 ,73.9  +- 15.3 ,49.9  +- 13.3 ,145788.4  +- 29996.3 ,98.3  +- 3.1 ,94.7  +- 5.4 ,83.9  +- 10.4 ,86.2  +- 13.6 ,65.1  +- 12.1 ,78.8  +- 21.5 ,96.1  +- 2.9 ,70.5  +- 22.9 ,60.1  +- 10.8 ,92.3  +- 25.9 ,60.1  +- 10.8 ,56.4  +- 15.0 ,71.9  +- 21.3 ,58.6  +- 22.3 ,84.1  +- 11.9 ,58.6  +- 20.6 ,62.5  +- 24.0 ,10447 +- 12039,10639 +- 5967
tl_sadeh,129225.6  +- 60094.1 ,62.2  +- 16.8 ,62.7  +- 13.3 ,73.0  +- 14.4 ,45.7  +- 12.9 ,162086.5  +- 34033.4 ,99.6  +- 1.7 ,98.4  +- 3.7 ,93.2  +- 8.1 ,90.6  +- 13.0 ,61.5  +- 12.3 ,83.9  +- 21.2 ,98.8  +- 1.6 ,64.6  +- 29.3 ,66.8  +- 12.2 ,84.5  +- 35.9 ,66.8  +- 12.2 ,47.3  +- 17.2 ,72.9  +- 18.8 ,53.5  +- 26.3 ,79.3  +- 19.2 ,53.6  +- 24.4 ,65.6  +- 22.9 ,11862 +- 13960,11620 +- 5981
resc_sadeh,86362.8  +- 52186.4 ,84.4  +- 9.0 ,81.1  +- 9.5 ,80.2  +- 15.7 ,63.8  +- 15.8 ,108070.8  +- 26335.4 ,93.1  +- 6.9 ,86.9  +- 10.4 ,86.1  +- 13.4 ,75.5  +- 16.9 ,74.4  +- 12.1 ,66.8  +- 24.5 ,87.1  +- 7.3 ,62.8  +- 39.1 ,44.6  +- 10.2 ,69.9  +- 43.5 ,44.7  +- 10.2 ,76.2  +- 13.0 ,84.7  +- 11.4 ,59.5  +- 37.5 ,92.7  +- 12.1 ,35.9  +- 21.6 ,85.9  +- 13.7 ,11240 +- 14710,7235 +- 5768
resc_tl_sadeh,98889.0  +- 56909.0 ,74.4  +- 14.0 ,72.3  +- 12.5 ,76.8  +- 15.7 ,53.6  +- 14.9 ,137108.8  +- 32200.2 ,98.4  +- 3.3 ,96.2  +- 6.3 ,93.5  +- 10.5 ,85.8  +- 15.9 ,68.1  +- 12.9 ,77.8  +- 24.4 ,96.2  +- 4.3 ,61.0  +- 37.2 ,56.5  +- 12.0 ,73.1  +- 43.4 ,56.6  +- 12.0 ,61.5  +- 16.6 ,80.8  +- 13.2 ,53.7  +- 34.2 ,86.7  +- 16.4 ,41.0  +- 23.3 ,79.1  +- 16.9 ,12210 +- 15427,9528 +- 6015
tl_resc_sadeh,137563.9  +- 57432.3 ,57.8  +- 17.9 ,59.7  +- 13.5 ,72.0  +- 14.6 ,43.6  +- 12.4 ,169551.8  +- 34769.4 ,99.6  +- 1.6 ,98.9  +- 3.2 ,94.5  +- 6.7 ,91.8  +- 12.3 ,59.6  +- 12.1 ,85.7  +- 20.2 ,98.8  +- 1.7 ,66.1  +- 26.6 ,69.9  +- 12.4 ,87.9  +- 32.4 ,69.9  +- 12.4 ,42.9  +- 17.5 ,70.9  +- 19.7 ,54.2  +- 24.1 ,77.7  +- 19.8 ,57.0  +- 23.1 ,62.1  +- 23.1 ,12073 +- 13017,11483 +- 5991
sadeh_max,344.4  +- 6560.8 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.3 ,0.2  +- 3.7 ,344.4  +- 6560.8 ,0.2  +- 4.2 ,0.2  +- 4.2 ,0.3  +- 5.3 ,0.2  +- 4.2 ,0.2  +- 3.9 ,0.2  +- 4.4 ,0.2  +- 4.2 ,0.2  +- 4.1 ,0.1  +- 2.3 ,0.2  +- 4.2 ,0.1  +- 2.3 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 3.9 ,0.3  +- 5.2 ,0.1  +- 2.3 ,99.9  +- 1.0 ,33738 +- 6734,12689 +- 6192
tl_sadeh_max,580.7  +- 9950.3 ,82.2  +- 5.5 ,70.1  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.0 ,607.7  +- 10022.9 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.6 ,0.2  +- 2.9 ,0.2  +- 3.2 ,0.3  +- 3.9 ,0.2  +- 3.3 ,0.2  +- 3.8 ,0.3  +- 5.2 ,0.2  +- 3.8 ,99.8  +- 3.3 ,76.0  +- 6.7 ,0.1  +- 2.4 ,0.5  +- 7.1 ,0.2  +- 3.8 ,99.8  +- 3.1 ,33728 +- 6654,12805 +- 6515
resc_tl_sadeh_max,569.7  +- 9852.9 ,82.2  +- 5.5 ,70.1  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.0 ,596.7  +- 9919.8 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.5 ,0.2  +- 2.9 ,0.2  +- 3.2 ,0.3  +- 3.8 ,0.2  +- 3.3 ,0.2  +- 3.8 ,0.3  +- 5.2 ,0.2  +- 3.8 ,99.8  +- 3.2 ,76.0  +- 6.7 ,0.1  +- 2.4 ,0.5  +- 7.1 ,0.2  +- 3.7 ,99.8  +- 3.0 ,33727 +- 6657,12807 +- 6527
oakley,110082.1  +- 38033.4 ,84.5  +- 7.8 ,80.6  +- 8.3 ,86.1  +- 12.7 ,63.5  +- 14.9 ,100751.0  +- 23306.9 ,87.1  +- 9.2 ,79.8  +- 10.7 ,75.2  +- 12.0 ,71.2  +- 15.5 ,72.3  +- 11.7 ,62.2  +- 22.6 ,83.0  +- 7.1 ,81.4  +- 22.1 ,41.6  +- 9.1 ,91.3  +- 22.8 ,41.6  +- 9.2 ,77.9  +- 11.2 ,87.3  +- 12.9 ,75.7  +- 24.0 ,93.2  +- 7.6 ,45.7  +- 15.4 ,83.1  +- 17.3 ,6443 +- 9565,5017 +- 5643
tl_oakley,66702.2  +- 54643.0 ,82.8  +- 10.5 ,79.8  +- 10.4 ,76.7  +- 16.5 ,61.6  +- 15.5 ,115574.9  +- 28243.5 ,96.0  +- 7.6 ,92.8  +- 10.1 ,95.9  +- 9.7 ,82.8  +- 17.7 ,73.8  +- 12.7 ,72.5  +- 26.5 ,94.7  +- 5.6 ,50.3  +- 43.2 ,47.8  +- 11.2 ,54.9  +- 47.7 ,47.8  +- 11.2 ,73.0  +- 14.1 ,83.4  +- 11.2 ,49.3  +- 41.7 ,83.4  +- 22.3 ,28.2  +- 23.1 ,89.3  +- 12.1 ,17310 +- 17042,7392 +- 6363
