,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
resc_tl_SGD_log,63508.0  +- 45907.7 ,88.4  +- 7.4 ,85.2  +- 8.2 ,80.9  +- 16.6 ,70.8  +- 15.6 ,93425.9  +- 24774.9 ,89.8  +- 12.3 ,83.7  +- 15.6 ,93.7  +- 11.9 ,72.7  +- 20.1 ,77.7  +- 12.5 ,63.1  +- 27.0 ,85.4  +- 11.3 ,58.5  +- 41.7 ,38.7  +- 10.1 ,58.7  +- 44.1 ,38.7  +- 10.1 ,83.3  +- 11.0 ,86.7  +- 11.3 ,67.1  +- 41.3 ,98.0  +- 6.0 ,26.6  +- 19.4 ,94.0  +- 9.0 ,13388 +- 15122,4941 +- 5575
tl_resc_SGD_log,66834.4  +- 57171.0 ,81.6  +- 10.8 ,78.6  +- 10.2 ,74.3  +- 16.5 ,60.1  +- 14.9 ,117394.5  +- 28104.6 ,95.3  +- 7.8 ,92.5  +- 10.4 ,94.3  +- 10.5 ,82.5  +- 17.4 ,72.4  +- 12.3 ,72.7  +- 26.2 ,93.6  +- 6.5 ,46.4  +- 42.7 ,48.5  +- 11.1 ,52.1  +- 48.1 ,48.5  +- 11.1 ,71.5  +- 14.2 ,81.5  +- 11.4 ,44.4  +- 40.8 ,79.9  +- 24.0 ,28.1  +- 24.0 ,87.5  +- 13.5 ,18899 +- 16903,8153 +- 6587
SGD_log_max,409.9  +- 7810.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,409.9  +- 7810.0 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33718 +- 6822,12688 +- 6192
tl_SGD_log_max,412.7  +- 7862.5 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 3.9 ,412.7  +- 7862.5 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33720 +- 6814,12687 +- 6193
resc_tl_SGD_log_max,401.7  +- 7652.5 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,401.7  +- 7652.5 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.6 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.3 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33718 +- 6821,12685 +- 6194
SGD_hinge,81583.7  +- 54713.2 ,84.6  +- 9.2 ,81.5  +- 9.6 ,78.4  +- 16.8 ,63.7  +- 15.4 ,111019.6  +- 26429.8 ,95.8  +- 8.1 ,90.1  +- 11.2 ,87.3  +- 14.8 ,80.1  +- 17.7 ,75.2  +- 12.3 ,70.0  +- 26.1 ,93.4  +- 7.3 ,58.4  +- 41.1 ,45.9  +- 10.4 ,65.5  +- 45.9 ,45.9  +- 10.4 ,75.5  +- 13.0 ,83.7  +- 12.4 ,55.4  +- 39.2 ,95.2  +- 6.6 ,34.1  +- 22.8 ,86.1  +- 14.4 ,13902 +- 16126,7467 +- 6316
tl_SGD_hinge,72916.3  +- 57791.2 ,81.9  +- 10.4 ,78.9  +- 10.2 ,75.2  +- 16.6 ,60.4  +- 15.1 ,118201.9  +- 27805.9 ,96.4  +- 7.0 ,92.9  +- 9.9 ,92.1  +- 12.5 ,82.9  +- 17.3 ,73.0  +- 12.3 ,73.0  +- 26.2 ,95.0  +- 6.0 ,49.9  +- 42.4 ,48.8  +- 10.9 ,56.9  +- 48.2 ,48.8  +- 10.9 ,71.6  +- 14.0 ,81.7  +- 11.5 ,46.4  +- 39.9 ,86.0  +- 18.4 ,30.7  +- 24.3 ,86.1  +- 14.1 ,17403 +- 17614,8861 +- 6686
resc_SGD_hinge,61863.1  +- 44734.1 ,89.5  +- 6.8 ,86.3  +- 7.9 ,81.3  +- 16.4 ,73.5  +- 15.9 ,87644.6  +- 24504.3 ,87.5  +- 13.5 ,79.9  +- 16.6 ,90.8  +- 13.2 ,68.7  +- 20.0 ,78.4  +- 12.7 ,59.5  +- 26.4 ,81.4  +- 12.2 ,58.6  +- 42.0 ,36.3  +- 10.1 ,58.0  +- 43.8 ,36.3  +- 10.1 ,85.7  +- 10.4 ,87.0  +- 11.0 ,67.5  +- 41.7 ,98.7  +- 2.3 ,26.0  +- 19.0 ,94.8  +- 8.4 ,13288 +- 15055,4860 +- 5589
resc_tl_SGD_hinge,64437.7  +- 47977.1 ,87.6  +- 7.7 ,84.4  +- 8.4 ,79.5  +- 16.7 ,68.9  +- 15.6 ,97851.0  +- 24903.2 ,91.5  +- 11.3 ,86.0  +- 14.5 ,92.5  +- 13.6 ,75.1  +- 19.8 ,77.2  +- 12.4 ,65.2  +- 27.1 ,87.8  +- 10.2 ,55.8  +- 42.2 ,40.5  +- 10.1 ,57.2  +- 45.1 ,40.5  +- 10.1 ,81.4  +- 11.4 ,85.6  +- 11.4 ,61.9  +- 42.1 ,97.6  +- 4.6 ,27.2  +- 20.4 ,92.5  +- 10.4 ,14454 +- 15531,5568 +- 5817
tl_resc_SGD_hinge,80553.7  +- 58399.8 ,79.4  +- 11.6 ,76.5  +- 10.8 ,75.7  +- 16.1 ,57.7  +- 14.8 ,124160.6  +- 29146.3 ,96.6  +- 6.4 ,94.2  +- 9.1 ,94.3  +- 9.3 ,84.4  +- 16.7 ,71.0  +- 12.4 ,74.9  +- 25.8 ,95.2  +- 5.6 ,53.3  +- 41.0 ,51.3  +- 11.3 ,61.8  +- 47.2 ,51.3  +- 11.3 ,68.2  +- 14.9 ,81.5  +- 11.8 ,48.9  +- 38.2 ,82.5  +- 20.7 ,33.8  +- 24.5 ,84.0  +- 15.1 ,16247 +- 16913,8699 +- 6638
SGD_hinge_max,410.2  +- 7815.2 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,410.2  +- 7815.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33718 +- 6822,12688 +- 6192
tl_SGD_hinge_max,412.9  +- 7867.7 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 3.9 ,412.9  +- 7867.7 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33720 +- 6814,12687 +- 6193
resc_tl_SGD_hinge_max,405.8  +- 7731.2 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,405.8  +- 7731.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33718 +- 6821,12686 +- 6193
SGD_huber,85733.1  +- 55255.1 ,84.0  +- 9.4 ,80.9  +- 9.7 ,78.4  +- 16.5 ,62.9  +- 15.2 ,112351.8  +- 26803.5 ,95.8  +- 8.6 ,90.2  +- 11.4 ,86.2  +- 14.7 ,80.4  +- 17.7 ,74.6  +- 12.4 ,70.4  +- 26.0 ,93.6  +- 7.7 ,59.9  +- 39.8 ,46.4  +- 10.6 ,68.2  +- 45.1 ,46.5  +- 10.6 ,74.7  +- 13.1 ,83.3  +- 12.5 ,56.7  +- 37.9 ,94.7  +- 6.4 ,35.9  +- 23.1 ,84.7  +- 15.4 ,13499 +- 16045,7586 +- 6412
tl_SGD_huber,74203.3  +- 59202.1 ,80.9  +- 10.8 ,78.0  +- 10.5 ,74.7  +- 16.3 ,59.3  +- 15.0 ,120689.5  +- 28541.0 ,96.6  +- 7.4 ,93.4  +- 10.1 ,90.9  +- 13.9 ,83.5  +- 17.2 ,72.2  +- 12.4 ,73.8  +- 26.1 ,95.5  +- 6.5 ,49.4  +- 42.0 ,49.8  +- 11.1 ,57.0  +- 48.2 ,49.9  +- 11.1 ,70.2  +- 14.3 ,81.1  +- 11.4 ,45.7  +- 39.3 ,85.5  +- 18.8 ,31.2  +- 24.8 ,85.2  +- 14.7 ,17652 +- 17631,9165 +- 6679
resc_SGD_huber,63126.7  +- 44869.0 ,89.5  +- 6.7 ,86.2  +- 7.8 ,81.6  +- 16.3 ,73.4  +- 15.7 ,87564.7  +- 24460.7 ,87.4  +- 14.1 ,79.8  +- 17.0 ,90.4  +- 13.6 ,68.8  +- 20.3 ,78.2  +- 13.1 ,59.5  +- 26.6 ,81.6  +- 12.8 ,59.6  +- 41.4 ,36.3  +- 10.1 ,59.2  +- 43.6 ,36.3  +- 10.1 ,85.7  +- 10.2 ,87.2  +- 11.1 ,69.2  +- 40.7 ,98.7  +- 2.3 ,26.5  +- 19.1 ,94.7  +- 8.7 ,12908 +- 14864,4730 +- 5534
resc_tl_SGD_huber,60960.1  +- 48703.7 ,87.2  +- 7.9 ,84.0  +- 8.6 ,78.3  +- 17.1 ,68.1  +- 15.5 ,99834.7  +- 25665.4 ,92.3  +- 11.5 ,87.1  +- 14.6 ,93.3  +- 13.3 ,76.0  +- 19.9 ,76.9  +- 12.5 ,66.2  +- 27.3 ,88.9  +- 10.3 ,52.6  +- 43.0 ,41.3  +- 10.4 ,53.9  +- 45.9 ,41.3  +- 10.4 ,80.6  +- 11.7 ,84.9  +- 11.5 ,59.1  +- 43.2 ,97.6  +- 4.5 ,25.7  +- 20.7 ,92.7  +- 10.0 ,15707 +- 15961,5781 +- 5864
tl_resc_SGD_huber,80749.3  +- 59834.8 ,78.3  +- 12.0 ,75.5  +- 11.1 ,74.9  +- 15.9 ,56.7  +- 14.7 ,126899.2  +- 29921.8 ,96.8  +- 6.9 ,94.6  +- 9.2 ,93.7  +- 10.1 ,85.0  +- 16.5 ,70.1  +- 12.5 ,75.6  +- 25.6 ,95.6  +- 6.0 ,52.1  +- 40.8 ,52.4  +- 11.6 ,60.8  +- 47.4 ,52.4  +- 11.6 ,66.6  +- 15.2 ,80.8  +- 11.8 ,47.7  +- 37.9 ,81.6  +- 20.4 ,33.8  +- 24.9 ,83.4  +- 15.5 ,16710 +- 16901,9010 +- 6632
SGD_huber_max,411.0  +- 7831.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,411.0  +- 7831.0 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33718 +- 6821,12688 +- 6192
tl_SGD_huber_max,435.5  +- 8298.1 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.7 ,435.5  +- 8298.1 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.4 ,76.1  +- 6.7 ,0.2  +- 3.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,33720 +- 6814,12694 +- 6190
resc_tl_SGD_huber_max,424.5  +- 8088.2 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.8 ,424.5  +- 8088.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.6 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.2 ,33719 +- 6820,12692 +- 6190
LSTM_20_raw,76111.8  +- 42880.0 ,88.8  +- 6.6 ,85.2  +- 7.6 ,84.5  +- 15.5 ,72.9  +- 16.0 ,82563.4  +- 22753.4 ,82.1  +- 13.3 ,73.1  +- 15.3 ,77.1  +- 15.3 ,64.0  +- 17.6 ,75.9  +- 12.7 ,54.9  +- 23.7 ,76.4  +- 10.7 ,68.9  +- 38.0 ,34.2  +- 9.3 ,70.4  +- 40.4 ,34.2  +- 9.3 ,86.4  +- 9.8 ,88.7  +- 10.9 ,74.9  +- 36.0 ,97.5  +- 4.3 ,31.9  +- 18.2 ,92.8  +- 10.7 ,9891 +- 13664,4512 +- 5581
tl_LSTM_20_raw,60546.3  +- 47729.1 ,88.0  +- 7.6 ,84.6  +- 8.3 ,78.7  +- 17.0 ,69.8  +- 15.9 ,92894.2  +- 25036.1 ,88.3  +- 13.1 ,81.7  +- 15.5 ,91.3  +- 12.8 ,72.1  +- 19.3 ,76.7  +- 13.1 ,61.8  +- 26.2 ,85.0  +- 10.4 ,53.9  +- 42.4 ,38.4  +- 10.2 ,54.6  +- 45.0 ,38.5  +- 10.2 ,83.0  +- 11.1 ,85.1  +- 11.6 ,62.1  +- 42.5 ,95.8  +- 8.2 ,25.5  +- 20.2 ,93.2  +- 10.2 ,15500 +- 15558,5213 +- 5887
resc_LSTM_20_raw,43193.4  +- 35540.7 ,89.1  +- 5.7 ,84.3  +- 7.3 ,77.4  +- 15.3 ,81.0  +- 17.2 ,56182.9  +- 22532.8 ,61.9  +- 19.7 ,53.9  +- 20.0 ,81.4  +- 18.7 ,45.6  +- 18.8 ,68.0  +- 17.2 ,39.4  +- 21.7 ,54.4  +- 16.2 ,50.6  +- 37.3 ,23.3  +- 9.4 ,44.1  +- 37.7 ,23.3  +- 9.4 ,93.4  +- 7.4 ,84.8  +- 10.2 ,83.0  +- 34.3 ,98.9  +- 7.6 ,18.0  +- 15.1 ,98.2  +- 5.2 ,13988 +- 12532,4748 +- 6280
resc_tl_LSTM_20_raw,52099.2  +- 39295.0 ,89.9  +- 6.1 ,86.2  +- 7.4 ,79.4  +- 15.8 ,77.4  +- 16.3 ,72781.8  +- 24354.3 ,76.7  +- 18.0 ,68.6  +- 19.5 ,90.1  +- 12.8 ,58.7  +- 20.4 ,75.3  +- 15.2 ,50.5  +- 25.1 ,70.0  +- 15.1 ,56.1  +- 38.5 ,30.1  +- 10.0 ,51.8  +- 39.8 ,30.1  +- 10.0 ,90.0  +- 8.8 ,85.8  +- 10.8 ,78.5  +- 36.8 ,99.2  +- 2.0 ,21.9  +- 16.8 ,96.7  +- 7.5 ,13073 +- 13301,4486 +- 5262
tl_resc_LSTM_20_raw,62749.0  +- 48313.6 ,86.2  +- 8.3 ,82.8  +- 8.7 ,78.2  +- 16.8 ,66.4  +- 15.6 ,98723.1  +- 25831.2 ,89.2  +- 12.5 ,84.5  +- 14.8 ,93.5  +- 10.4 ,74.8  +- 19.0 ,74.9  +- 13.1 ,64.5  +- 26.3 ,86.6  +- 9.6 ,53.9  +- 42.0 ,40.8  +- 10.4 ,55.4  +- 45.0 ,40.9  +- 10.5 ,79.9  +- 11.8 ,84.7  +- 11.4 ,60.4  +- 42.0 ,88.8  +- 18.0 ,26.4  +- 20.4 ,92.2  +- 10.6 ,15710 +- 15591,5550 +- 6047
LSTM_20_raw_max,182.6  +- 3479.8 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.3  +- 5.0 ,182.6  +- 3479.8 ,0.2  +- 3.6 ,0.2  +- 3.6 ,0.3  +- 5.3 ,0.2  +- 3.2 ,0.2  +- 4.2 ,0.2  +- 3.2 ,0.2  +- 3.2 ,0.2  +- 4.3 ,0.1  +- 1.5 ,0.2  +- 3.6 ,0.1  +- 1.5 ,100.0  +- 0.1 ,76.1  +- 6.7 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 1.5 ,100.0  +- 0.0 ,33725 +- 6796,12702 +- 6207
tl_LSTM_20_raw_max,345.7  +- 6587.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.3 ,0.2  +- 3.3 ,345.7  +- 6587.0 ,0.3  +- 5.2 ,0.2  +- 4.2 ,0.3  +- 5.3 ,0.2  +- 3.1 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 3.8 ,0.1  +- 2.5 ,0.2  +- 4.2 ,0.1  +- 2.5 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 3.6 ,0.3  +- 5.2 ,0.1  +- 2.5 ,99.9  +- 1.4 ,33738 +- 6740,12702 +- 6196
resc_tl_LSTM_20_raw_max,334.7  +- 6377.1 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.3 ,0.2  +- 3.4 ,334.7  +- 6377.1 ,0.3  +- 5.2 ,0.2  +- 4.1 ,0.3  +- 5.3 ,0.2  +- 3.0 ,0.2  +- 4.1 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.2  +- 3.8 ,0.1  +- 2.4 ,0.2  +- 4.1 ,0.1  +- 2.4 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 3.6 ,0.3  +- 5.2 ,0.1  +- 2.4 ,99.9  +- 1.3 ,33739 +- 6735,12700 +- 6196
LSTM_50_raw,74918.7  +- 42748.9 ,88.9  +- 6.7 ,85.5  +- 7.6 ,84.2  +- 15.6 ,72.4  +- 15.7 ,87159.0  +- 23115.7 ,85.9  +- 11.4 ,77.8  +- 14.5 ,81.8  +- 14.2 ,67.2  +- 18.1 ,77.3  +- 12.0 ,57.8  +- 24.6 ,79.6  +- 10.0 ,68.1  +- 38.2 ,36.1  +- 9.4 ,69.4  +- 40.4 ,36.1  +- 9.4 ,85.3  +- 10.2 ,88.5  +- 10.9 ,73.2  +- 37.1 ,97.6  +- 4.1 ,31.4  +- 18.1 ,92.9  +- 10.5 ,10148 +- 13885,4715 +- 5629
tl_LSTM_50_raw,60106.1  +- 47158.6 ,88.0  +- 7.8 ,84.9  +- 8.4 ,78.3  +- 17.2 ,69.8  +- 15.8 ,96155.6  +- 24824.1 ,91.1  +- 10.7 ,84.7  +- 14.2 ,93.4  +- 10.9 ,74.0  +- 19.1 ,77.8  +- 12.4 ,63.7  +- 26.5 ,86.8  +- 9.1 ,53.1  +- 42.9 ,39.8  +- 10.1 ,54.1  +- 45.4 ,39.8  +- 10.1 ,82.2  +- 11.5 ,84.9  +- 11.6 ,59.7  +- 43.0 ,94.4  +- 14.9 ,25.4  +- 20.2 ,93.0  +- 10.0 ,15890 +- 16257,5712 +- 6059
resc_LSTM_50_raw,46879.3  +- 36474.1 ,90.1  +- 5.6 ,86.2  +- 6.9 ,78.4  +- 15.6 ,79.2  +- 15.9 ,68628.1  +- 22997.1 ,73.9  +- 16.7 ,65.7  +- 18.8 ,89.1  +- 13.4 ,55.0  +- 19.4 ,74.7  +- 14.0 ,47.6  +- 23.9 ,65.5  +- 14.6 ,52.8  +- 38.6 ,28.4  +- 9.6 ,47.3  +- 38.9 ,28.5  +- 9.6 ,91.2  +- 8.3 ,85.4  +- 10.1 ,78.0  +- 38.5 ,99.5  +- 2.7 ,19.8  +- 15.7 ,97.5  +- 4.8 ,14046 +- 13300,4318 +- 5149
resc_tl_LSTM_50_raw,53024.0  +- 40172.8 ,89.8  +- 6.3 ,86.4  +- 7.3 ,79.5  +- 16.2 ,75.2  +- 15.8 ,81293.7  +- 24064.1 ,83.1  +- 14.7 ,75.9  +- 17.6 ,93.6  +- 11.6 ,64.6  +- 20.0 ,77.5  +- 13.1 ,55.9  +- 25.9 ,76.1  +- 13.1 ,54.7  +- 40.8 ,33.7  +- 10.0 ,51.7  +- 42.0 ,33.7  +- 10.0 ,87.6  +- 9.7 ,86.1  +- 10.3 ,72.7  +- 40.4 ,98.9  +- 3.5 ,22.4  +- 17.3 ,96.3  +- 5.8 ,13886 +- 14228,4568 +- 5049
tl_resc_LSTM_50_raw,64511.6  +- 47364.1 ,86.4  +- 8.3 ,83.1  +- 8.7 ,78.7  +- 16.9 ,66.7  +- 15.4 ,99999.2  +- 25262.3 ,90.6  +- 10.6 ,85.9  +- 13.5 ,94.0  +- 9.3 ,75.6  +- 18.8 ,75.7  +- 12.4 ,65.4  +- 26.5 ,87.4  +- 8.5 ,55.5  +- 41.9 ,41.4  +- 10.2 ,57.1  +- 44.9 ,41.4  +- 10.2 ,79.8  +- 11.9 ,85.0  +- 11.5 ,61.0  +- 41.7 ,90.2  +- 16.8 ,27.2  +- 20.2 ,91.9  +- 10.4 ,15064 +- 15768,5687 +- 5973
LSTM_50_raw_max,271.9  +- 5180.4 ,82.3  +- 5.4 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.4 ,271.9  +- 5180.4 ,0.3  +- 5.1 ,0.3  +- 5.1 ,0.3  +- 5.3 ,0.2  +- 3.0 ,0.2  +- 4.7 ,0.2  +- 3.4 ,0.2  +- 4.6 ,0.3  +- 5.2 ,0.1  +- 1.9 ,0.3  +- 5.1 ,0.1  +- 1.9 ,100.0  +- 0.4 ,76.1  +- 6.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 1.9 ,100.0  +- 0.0 ,33714 +- 6818,12661 +- 6219
tl_LSTM_50_raw_max,404.1  +- 7699.8 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,404.1  +- 7699.8 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.6 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33718 +- 6823,12686 +- 6193
resc_tl_LSTM_50_raw_max,393.1  +- 7489.8 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.1 ,393.1  +- 7489.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.8 ,0.2  +- 4.6 ,0.3  +- 5.0 ,0.3  +- 4.8 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.3 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.8 ,33719 +- 6818,12684 +- 6195
LSTM_100_raw,63537.7  +- 38668.7 ,90.6  +- 6.3 ,87.5  +- 7.3 ,83.6  +- 15.4 ,76.5  +- 15.5 ,82324.5  +- 23240.2 ,85.8  +- 13.5 ,77.6  +- 17.0 ,89.1  +- 12.0 ,66.0  +- 20.0 ,79.6  +- 12.6 ,56.8  +- 26.0 ,78.5  +- 12.0 ,65.6  +- 38.1 ,34.1  +- 9.6 ,63.0  +- 39.7 ,34.1  +- 9.7 ,88.1  +- 9.5 ,88.6  +- 10.1 ,78.4  +- 36.5 ,99.0  +- 2.4 ,26.7  +- 16.6 ,96.2  +- 6.7 ,10822 +- 13574,4036 +- 5251
tl_LSTM_100_raw,61019.3  +- 40874.4 ,89.6  +- 7.0 ,86.6  +- 7.8 ,81.7  +- 16.1 ,73.5  +- 15.6 ,88658.7  +- 23959.7 ,88.7  +- 12.5 ,82.1  +- 16.3 ,95.8  +- 8.3 ,70.8  +- 20.4 ,79.1  +- 12.5 ,60.9  +- 27.0 ,83.4  +- 11.3 ,60.9  +- 40.1 ,36.7  +- 9.9 ,59.0  +- 41.9 ,36.7  +- 9.9 ,85.6  +- 10.4 ,87.4  +- 10.4 ,73.1  +- 39.2 ,98.4  +- 3.7 ,25.6  +- 17.2 ,95.6  +- 6.3 ,12304 +- 14097,4271 +- 5148
resc_LSTM_100_raw,47712.4  +- 34327.8 ,90.7  +- 5.7 ,87.1  +- 7.0 ,78.8  +- 15.2 ,80.8  +- 15.5 ,68663.4  +- 23522.8 ,75.3  +- 17.9 ,67.3  +- 20.0 ,94.0  +- 9.3 ,55.9  +- 20.8 ,76.2  +- 14.9 ,48.6  +- 25.2 ,66.4  +- 15.7 ,55.2  +- 36.7 ,28.5  +- 9.9 ,48.8  +- 37.2 ,28.5  +- 9.9 ,91.8  +- 8.1 ,85.6  +- 10.0 ,83.4  +- 34.1 ,99.7  +- 1.7 ,20.0  +- 14.6 ,97.8  +- 4.7 ,12799 +- 12175,4485 +- 5453
resc_tl_LSTM_100_raw,51844.4  +- 36815.4 ,90.4  +- 6.1 ,87.0  +- 7.2 ,80.0  +- 15.5 ,77.3  +- 15.4 ,77303.3  +- 23852.4 ,81.4  +- 16.2 ,74.4  +- 19.2 ,97.4  +- 7.1 ,62.7  +- 21.2 ,77.7  +- 13.7 ,54.4  +- 26.3 ,74.1  +- 14.7 ,57.3  +- 37.9 ,32.0  +- 9.9 ,52.4  +- 39.0 ,32.0  +- 9.9 ,89.2  +- 9.0 ,86.3  +- 10.1 ,80.9  +- 35.7 ,99.4  +- 3.3 ,21.7  +- 15.6 ,97.3  +- 5.0 ,12346 +- 12837,4385 +- 4952
